,name,War,Film-Noir,Sci-Fi,History,Music,Musical,Fantasy,Thriller,Romance,Horror,Mystery,Family,Animation,Comedy,Drama,Biography,Adventure,Action,Crime,Western,Sport,Films,Produced
2013,Vijay Sethupathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
2014,Pushkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
2015,Kyung-jin Lee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2016,Ismail Hacioglu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2017,Çetin Tekindor,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0
2018,Erdem Can,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0
2019,Kawsar Al Haddad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1661096
2020,Boluwatife Treasure Bankole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1661096
2021,Yordanos Shiferaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1661096
2022,Zain Al Rafeea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1661096
2023,Crispin Glover,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,211647609
2024,Lea Thompson,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,329109762
2025,Christopher Lloyd,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,3,485562132
2026,Michael J. Fox,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,329109762
